phone,name,account,notes
+16058422606,"City of Winner, SD","City of Winner, SD","Winner, South Dakota | Government: Local | www.winnersd.org/city-of-winner/"
+13199353317,"City of Winthrop, Iowa","City of Winthrop, Iowa","Winthrop, Iowa | Government: Local | cityofwinthrop.com"
+1.605.668.5200,"City of Yankton, SD","City of Yankton, SD","Yankton, South Dakota | Government: Local | www.cityofyankton.org"
+1.605.532.5363,"Clark County, SD","Clark County, SD","Clark, South Dakota | Government: Local | www.accessclarkcounty.com"
+1.605.532.3603,Clark School District (SD) - ISD 12-2,Clark School District (SD) - ISD 12-2,"Clark, South Dakota | Education: Lower Education | clark.k12.sd.us"
+1.605.532.5665,"Clark, SD","Clark, SD","Clark, South Dakota | Government: Local | www.cityofclark.com"
(402) 441-3050,"Class, NE","Class, NE","Lincoln, Nebraska | Technology | www.class.com"
7122624335,Clay County,Clay County,"Spencer, Iowa | Government: Local | https://claycounty.iowa.gov/"
+1.605.677.7100,"Clay County Sheriff, SD","Clay County Sheriff, SD","Vermillion, South Dakota | Government | www.claysheriff.org"
5632452533,Clayton County,Clayton County,"Elkader, Iowa | Government: Local | http://www.claytoncountyia.gov"
+1.402.485.2451,"Clearwater Village, NE","Clearwater Village, NE","Clearwater, Nebraska | Government: Local | www.clearwaterne.com"
+1.319.830.6648,"College of Hair Design, IA","College of Hair Design, IA","Waterloo, Iowa | Education: Higher Education | collegeofhairdesign.edu"
+1.402.474.4244,"College of Hair Design-Downtown, NE","College of Hair Design-Downtown, NE","Lincoln, Nebraska | Education: Higher Education | collegeofhairdesign.com"
+1.402.323.3320,"College of Hair Design-East Campus, NE","College of Hair Design-East Campus, NE","Lincoln, Nebraska | Education: Higher Education | collegeofhairdesign.com"
+1.402.399.2400,College of Saint (St.) Mary,College of Saint (St.) Mary,"Omaha, Nebraska | Education: Higher Education | www.csm.edu"
(605) 534-3534,"Colman-Egan School District, SD","Colman-Egan School District, SD","Colman, South Dakota | Education: Lower Education | www.colman-egan.k12.sd.us/default.aspx"
+1.605.842.1624,Colome Consolidated (SD) ISD - 59-3,Colome Consolidated (SD) ISD - 59-3,"Colome, South Dakota | Education: Lower Education | www.colome.k12.sd.us/"
(402) 965-3534,Concordia Lutheran Schools Of Omaha,Concordia Lutheran Schools Of Omaha,"Omaha, Nebraska | Education: Lower Education | www.concordiaomaha.org"
7129997749,Coon Rapids,Coon Rapids,"Coon Rapids, Iowa | Government: Local | www.coonrapidsiowa.com"
14025642821,Cornhusker Public Power District,Cornhusker Public Power District,"Columbus, Nebraska | Utilities | cornhusker-power.com"
+13084365260,"County of Banner, NE","County of Banner, NE","Harrisburg, Nebraska | Government: Local | bannercountyne.gov"
+16053538442,"County of Beadle, SD","County of Beadle, SD","Huron, South Dakota | Government: Local | beadle.sdcounties.org/"
+1.308.762.6565,"County of Box Butte, NE","County of Box Butte, NE","Alliance, Nebraska | Government: Local | www.boxbutte.gisworkshop.com"
+17127322022,"County of Buena Vista, IA","County of Buena Vista, IA","Storm Lake, Iowa | Government: Local | buenavistacounty.iowa.gov/"
14023677430,County of Butler,County of Butler,"David City, Nebraska | Government: Local | butlercountyne.gov"
+1.319.267.2703,County of Butler Rural Electric Cooperative (REC),County of Butler Rural Electric Cooperative (REC),"Allison, Iowa | Government: Local | www.butlerrec.coop"
402-254-6862,County of Cedar NE,County of Cedar NE,"Hartington, Nebraska | Government: Local | co.cedar.ne.us/"
(605) 677-7123,"County of Clay, SD","County of Clay, SD","Vermillion, South Dakota | Government: Local | www.claycountysd.org/"
+14023528519,"County of Colfax, NE","County of Colfax, NE","Schuyler, Nebraska | Government: Local | colfaxcountyne.gov"
+1.605.273.4368,"County of Corson, SD","County of Corson, SD","Mc Intosh, South Dakota | Government: Local | corson.sdcounties.org"
+1.712.263.3045,"County of Crawford, IA","County of Crawford, IA","Denison, Iowa | Government: Local | www.crawfordcounty.org"
402-372-6002,"County of Cuming, NE","County of Cuming, NE","West Point, Nebraska | Government: Local | www.cumingco.com"
+13088722121,"County of Custer, NE","County of Custer, NE","Broken Bow, Nebraska | Government: Local | custercountyne.gov/"
+1.641.664.2101,County of Davis,County of Davis,"Bloomfield, Iowa | Government | www.daviscountyiowa.org"
+16059958611,"County of Davison, SD","County of Davison, SD","Mitchell, South Dakota | Government: Local | davisoncounty.org"
+1.641.257.6131,"County of Floyd, IA","County of Floyd, IA","Charles City, Iowa | Government | www.floydcoia.org"
+1.641.456.2731,"County of Franklin, IA","County of Franklin, IA","Hampton, Iowa | Government: Local | www.co.franklin.ia.us"
+13087723540,"County of Garden, NE","County of Garden, NE","Oshkosh, Nebraska | Government: Local | gardencounty.ne.gov/"
+1.515.386.5650,County of Greene,County of Greene,"Jefferson, Iowa | Construction | www.co.greene.ia.us"
+1.319.824.3122,"County of Grundy, IA","County of Grundy, IA","Grundy Center, Iowa | Government: Local | www.grundycountyrecia.org"
+1.515.832.8629,"County of Hamilton, IA","County of Hamilton, IA","Webster City, Iowa | Government: Local | www.hamiltoncounty.org"
+14023361624,"County of Holt, NE","County of Holt, NE","O'Neill, Nebraska | Government: Local | holtcounty.nebraska.gov/"
13087549121,County of Howard,County of Howard,"Saint Paul, Nebraska | Government: Local | howardcounty.ne.gov"
+16057733713,"County of Hughes, SD","County of Hughes, SD","Pierre, South Dakota | Government: Local | hughescounty.org"
+1.515.332.1571,"County of Humboldt, IA","County of Humboldt, IA","Dakota City, Iowa | Government: Local | www.humboldtcountyia.org"
+1.641.472.2851,"County of Jefferson, IA","County of Jefferson, IA","Fairfield, Iowa | Government: Local | www.jeffersoncountyiowa.com"
605-539-9701,"County of Jerauld, SD","County of Jerauld, SD","Wessington Springs, South Dakota | Government: Local | en.wikipedia.org/wiki/Jerauld_County,_South_Dakota"
+1.515.295.9277,"County of Kossuth, IA","County of Kossuth, IA","Algona, Iowa | Government: Local | www.co.kossuth.ia.us"
+16052567600,"County of Lake, SD","County of Lake, SD","Madison, South Dakota | Government: Local | lake.sd.gov"
+1.641.774.4411,County of Lucas,County of Lucas,"Chariton, Iowa | Government | www.lucasco.org"
+17124723713,"County of Lyon, IA","County of Lyon, IA","Rock Rapids, Iowa | Government: Local | lyoncounty.iowa.gov/"
+1.515.462.3914,County of Madison,County of Madison,"Winterset, Iowa | Government: Local | madisoncoia.us"
13089462164,County of Merrick,County of Merrick,"Central City, Nebraska | Government: Local | merrickcounty.ne.gov"
17124332191,County of Monona,County of Monona,"Onawa, Iowa | Government | mononacounty.iowa.gov"
+1.712.623.4255,"County of Montgomery, IA","County of Montgomery, IA","Red Oak, Iowa | Government: Local | www.montgomerycountyiowa.com"
13082621177,"County of Morrill, NE","County of Morrill, NE","Bridgeport, Nebraska | Government: Local | morrillcountyne.gov"
14022744285,County of Nemaha,County of Nemaha,"Auburn, Nebraska | Government: Local | nemahacounty.ne.gov"
+16057453996,"County of Oglala Lakota, SD","County of Oglala Lakota, SD","Hot Springs, South Dakota | Government: Local | oglalalakota.sdcounties.org/"
+17127542523,"County of Osceola, IA","County of Osceola, IA","Sibley, Iowa | Government: Local | osceolacountyia.gov"
+14028734262,"County of Otoe, NE","County of Otoe, NE","Nebraska City, Nebraska | Government: Local | otoecountyne.gov"
16416235443,County of Poweshiek,County of Poweshiek,"Montezuma, Iowa | Government: Local | poweshiekcounty.org"
+13083451552,"County of Red Willow, NE","County of Red Willow, NE","McCook, Nebraska | Government: Local | co.red-willow.ne.us/"
+16056983395,"County of Roberts, SD","County of Roberts, SD","Sisseton, South Dakota | Government: Local | www.robertscounty.org/"
14026843515,County of Rock,County of Rock,"Bassett, Nebraska | Government: Local | rockcountynebraska.org"
+1.402.821.2374,"County of Saline, NE","County of Saline, NE","Wilber, Nebraska | Government: Local | www.co.saline.ne.us"
+14026432883,"County of Seward, NE","County of Seward, NE","Seward, Nebraska | Government: Local | countyofsewardne.com"
+1.712.755.5847,"County of Shelby, IA","County of Shelby, IA","Harlan, Iowa | Government: Local | www.shco.org"
+1.402.439.2215,"County of Stanton, NE","County of Stanton, NE","Stanton, Nebraska | Government: Local | www.stantoncountysheriff.com"
+17125232556,"County of Taylor, IA","County of Taylor, IA","Bedford, Iowa | Government: Local | www.taylorcounty.iowa.gov/"
605-251-7700,"County of Tripp, SD","County of Tripp, SD","Winner, South Dakota | Government: Local | trippcounty.us/index.html"
+16053563317,"County of Union, SD","County of Union, SD","Elk Point, South Dakota | Government: Local | unioncountysd.org"
13087282020,County of Valley,County of Valley,"Ord, Nebraska | Government: Local | valleycountyne.gov"
+1.641.872.2025,"County of Wayne, IA","County of Wayne, IA","Corydon, Iowa | Government: Local | www.waynecountyiowa.com"
+1.402.746.3612,"County of Webster, NE","County of Webster, NE","Red Cloud, Nebraska | Government: Local | www.co.webster.ne.us"
+1.641.585.2340,"County of Winnebago, IA","County of Winnebago, IA","Forest City, Iowa | Government: Local | www.winnebagocountyiowa.gov"
+14023627759,"County of York, NE","County of York, NE","York, Nebraska | Government: Local | www.yorkcounty.ne.gov"
+1.605.365.5157,"County of Ziebach, SD","County of Ziebach, SD","Dupree, South Dakota | Government: Local | www.ziebachcounty.org"
+1.641.228.3397,"County Social Services, IA","County Social Services, IA","Charles City, Iowa | Government | www.charlescityia.com"
6052344414,"Cozard Memorial Library, SD","Cozard Memorial Library, SD","Chamberlain, South Dakota | Education | www.cozard.org"
16054626792,"Crazy Horse School, SD","Crazy Horse School, SD","Wanblee, South Dakota | Education: Lower Education | crazyhorse.k12.sd.us"
4025483892,"Creighton Preparatory School, NE","Creighton Preparatory School, NE","Omaha, Nebraska | Education: Lower Education | www.creightonprep.org/"
+1.402.280.4526,Creighton University School of Medicine,Creighton University School of Medicine,"Omaha, Nebraska | Healthcare | medschool.creighton.edu/"
16417822447,Creston,Creston,"Creston, Iowa | Government: Local | www.crestoniowa.gov"
6417822277,"Creston Public Library, IA","Creston Public Library, IA","Creston, Iowa | Government: Local | https://www.creston.lib.ia.us/"
3192589007,Crew Public Library,Crew Public Library,"Salem, Iowa | Government: Local | https://www.salem.lib.ia.us/"
+1.308.367.8330,"Curtis, NE","Curtis, NE","Curtis, Nebraska | Government: Local | www.curtis-ne.com"
+1.605.673.3154,Custer School District (SD) - ISD16-1,Custer School District (SD) - ISD16-1,"Custer, South Dakota | Education: Lower Education | www.csd.k12.sd.us/"
+1.605.673.4824,"Custer, SD","Custer, SD","Custer, South Dakota | Government: Local | www.custer.govoffice.com"
+1.402.987.3448,"Dakota City, NE","Dakota City, NE","Dakota City, Nebraska | Government: Local | www.dakotacity.net"
605-964-7661,"Dakota Club Library, SD","Dakota Club Library, SD","Eagle Butte, South Dakota | Education | www.dakotaclublibrary.org"
+1.605.232.4211,"Dakota Dunes Community Improvement District, SD","Dakota Dunes Community Improvement District, SD","Dakota Dunes, South Dakota | Real Estate | www.dakotadunes.com"
605-422-3800,"Dakota Valley School District, SD","Dakota Valley School District, SD","North Sioux City, South Dakota | Education: Lower Education | www.dakotavalley.k12.sd.us"
+1.605.995.2600,Dakota Westleyan University Health and Wellness Center,Dakota Westleyan University Health and Wellness Center,"Mitchell, South Dakota | Education: Higher Education | www.dwu.edu/"
+1.515.992.3725,"Dallas Center, IA","Dallas Center, IA","Dallas Center, Iowa | Government: Local | www.dallascenter.com"
(800) 444-3262,"Dana College, NE","Dana College, NE","Blair, Nebraska | Education: Higher Education | www.dana.edu"
4023673135,David City,David City,"David City, Nebraska | Government: Local | https://www.davidcityne.com/"
+1.308.324.2386,Dawson Public Power District,Dawson Public Power District,"Lexington, Nebraska | Utilities | www.dawsonpower.com"
+1.605.854.3176,De Smet School District (SD) - ISD 38-2,De Smet School District (SD) - ISD 38-2,"De Smet, South Dakota | Education: Lower Education | www.desmet.k12.sd.us"
+1.402.683.5025,"De Witt Village, NE","De Witt Village, NE","De Witt, Nebraska | Government: Local | www.dewitt.ne.gov"
16055781876,"Deadwood, SD","Deadwood, SD","Deadwood, South Dakota | Government: Local | http://www.deadwood.org/"
+1.605.366.8612,Dell Rapids School District (SD) - ISD 49-3,Dell Rapids School District (SD) - ISD 49-3,"Dell Rapids, South Dakota | Education: Lower Education | dr-k12.org/"
+1.319.984.5642,"Denver, IA","Denver, IA","Denver, Iowa | Government: Local | www.cityofdenveriowa.com"
+1.402.365.4260,"Deshler, NE","Deshler, NE","Deshler, Nebraska | Government: Local | https://www.deshlernebraska.com"
605-629-1115,"Deubrook Area Schools, SD","Deubrook Area Schools, SD","White, South Dakota | Education: Lower Education | www.sp.deubrook.k12.sd.us"
+1.605.874.8562,"Deuel County, SD","Deuel County, SD","Clear Lake, South Dakota | Government: Local | www.deuelcountysd.com/"
+1.605.865.3672,"Dewey County, SD","Dewey County, SD","Timber Lake, South Dakota | Government: Local"
+1.319.989.2291,"Dike, IA","Dike, IA","Dike, Iowa | Government: Local | www.dikeia.com"
+1.402.826.2161,Doane College,Doane College,"Crete, Nebraska | Education: Higher Education | www.doane.edu"
(605) 384-3641,DOI - Yankton Sioux Tribe,DOI - Yankton Sioux Tribe,"Wagner, South Dakota | Government | www.yanktonsiouxtribe.com/"
605-635-6302,Doland School District (SD) - ISD 56-1,Doland School District (SD) - ISD 56-1,"Doland, South Dakota | Education: Lower Education | www.doland.k12.sd.us"
6058474843,"Dorothee Pike Memorial Library, SD","Dorothee Pike Memorial Library, SD","Lake Preston, South Dakota | Education | dorotheepikememorial.yoursdlibrary.org"
+1.402.557.2120,Douglas County School District,Douglas County School District,"Omaha, Nebraska | Education: Lower Education | www.ops.org"
+1.605.724.2423,"Douglas County, SD","Douglas County, SD","Armour, South Dakota | Government: Local | www.douglas.sdcounties.org"
515-852-4164,"Dows CSD, IA","Dows CSD, IA","Dows, Iowa | Education: Lower Education | www.dows.k12.ia.us"
3084232374,Dundy County,Dundy County,"Benkelman, Nebraska | Government: Local | https://dundycounty.nebraska.gov/"
605-365-5140,"Dupree School, SD","Dupree School, SD","Dupree, South Dakota | Education: Lower Education | www.dupree.k12.sd.us"
+1.319.476.5690,"Dysart, IA","Dysart, IA","Dysart, Iowa | Government: Local | www.dysartiowa.com"
+1.712.328.2613,"E Q School of Hair Design, IA","E Q School of Hair Design, IA","Council Bluffs, Iowa | Education: Higher Education | www.eqschool.net"
+1.605.964.4911,Eagle Butte School District (SD) - ISD 20-1,Eagle Butte School District (SD) - ISD 20-1,"Eagle Butte, South Dakota | Education: Lower Education | www.c-eb.com"
16053363597,East Side Lutheran Church,East Side Lutheran Church,"Sioux Falls, South Dakota | Government | eastsidelc.org"
+1.402.224.5145,"Edgar, NE","Edgar, NE","Edgar, Nebraska | Government: Local | www.ci.edgar.ne.us"
5632854841,Eldridge,Eldridge,"Eldridge, Iowa | Government: Local | https://www.cityofeldridgeia.org/"
14028432339,ELGIN HOUSING AUTHORITY,ELGIN HOUSING AUTHORITY,"Elgin, Nebraska | Government: Local | haelgin.org"
+1.402.843.5822,"Elgin, NE","Elgin, NE","Elgin, Nebraska | Government: Local | www.cityofelgin.org"
+1.605.356.2141,"Elk Point, SD","Elk Point, SD","Elk Point, South Dakota | Government: Local | www.elkpoint.org"
605.356.5990,"Elk Point-Jefferson School District, SD","Elk Point-Jefferson School District, SD","Elk Point, South Dakota | Education: Lower Education | www.epj.k12.sd.us"
+1.563.245.2098,"Elkader, IA","Elkader, IA","Elkader, Iowa | Government: Local | www.elkader-iowa.com"
+1.402.675.2185,"Elkhorn Rural Public Power District, NE","Elkhorn Rural Public Power District, NE","Battle Creek, Nebraska | Utilities | www.erppd.com"
605-542-2541,"Elkton School District, SD","Elkton School District, SD","Elkton, South Dakota | Education: Lower Education | www.elktonps.org"
+1.515.836.4753,"Ellsworth, IA","Ellsworth, IA","Ellsworth, Iowa | Government: Local"
+1.308.785.2480,"Elwood Village, NE","Elwood Village, NE","Elwood, Nebraska | Government: Local | www.elwoodnebraska.com"
+1.402.695.2662,"Emerson Village, NE","Emerson Village, NE","Emerson, Nebraska | Government: Local | www.emerson-ne.com"
+1.605.449.9284,"Emery Town, SD","Emery Town, SD","Emery, South Dakota | Government: Local | www.cityofemerysd.com"
7123624261,Emmet County,Emmet County,"Estherville, Iowa | Government: Local | www.emmetcountyia.com"
605-873-2201,"Estelline High School, SD","Estelline High School, SD","Estelline, South Dakota | Education: Lower Education | www.estellineschool.com"
+1.605.873.2201,Estelline School District (SD) - ISD 28-2,Estelline School District (SD) - ISD 28-2,"Estelline, South Dakota | Education: Lower Education | www.estelline.k12.sd.us/"
17123623574,Estherville,Estherville,"Estherville, Iowa | Government: Local | cityofestherville.org"
605-284-2875x101,"Eureka Public School District, SD","Eureka Public School District, SD","Eureka, South Dakota | Education: Lower Education | www.eureka.k12.sd.us"
16414724750,Fairfield,Fairfield,"Fairfield, Iowa | Government: Local | cityoffairfieldiowa.com"
16414722000,"FAIRFIELD ARTS & CONVENTION CENTER, INC.","FAIRFIELD ARTS & CONVENTION CENTER, INC.","Fairfield, Iowa | Government: Local | fairfieldacc.com"
(641) 472-6551,"Fairfield Public Library, IA","Fairfield Public Library, IA","Fairfield, Iowa | Education | www.fairfield.lib.ia.us"
+1.402.268.3341,"Fairmont, NE","Fairmont, NE","Fairmont, Nebraska | Government: Local | www.fairmont-nebraska.org"
605-967-2262,"Faith Public/School Library, SD","Faith Public/School Library, SD","Faith, South Dakota | Education | www.faith.k12.sd.us"
605-967-2152,"Faith School District, SD","Faith School District, SD","Faith, South Dakota | Education: Lower Education | www.faith.k12.sd.us"
605-598-6266 ext 5,"Faulkton Area Schools 24-4, SD","Faulkton Area Schools 24-4, SD","Faulkton, South Dakota | Education: Lower Education | faulkton.k12.sd.us"
+1.712.336.3518,"Faust Institute of Cosmetology-Spirit Lake, IA","Faust Institute of Cosmetology-Spirit Lake, IA","Spirit Lake, Iowa | Business Services | www.faustinstitute.com"
+1.712.732.6570,"Faust Institute of Cosmetology-Storm Lake, IA","Faust Institute of Cosmetology-Storm Lake, IA","Storm Lake, Iowa | Education: Higher Education | www.faustinstitute.com"
605-997-3263,"Flandreau Public Schools, IA","Flandreau Public Schools, IA","Flandreau, South Dakota | Education: Lower Education | www.flandreau.k12.sd.us"
+1.605.997.2020,"Flandreau Township, SD","Flandreau Township, SD","Flandreau, South Dakota | Government: Local"
+1.605.758.2412,"Florence School District 14-1, SD","Florence School District 14-1, SD","Florence, South Dakota | Education: Lower Education | www.florence.k12.sd.us"
6412576131,Floyd County,Floyd County,"Charles City, Iowa | Government: Local | https://www.floydco.iowa.gov/"
(641) 585-2113,"Forest City Police Department, IA","Forest City Police Department, IA","Forest City, Iowa | Government | www.fcpolice.org"
+1.641.585.2112,"Forest City, IA","Forest City, IA","Forest City, Iowa | Government: Local | www.forestcityia.com"
+1.402.468.5303,"Fort Calhoun, NE","Fort Calhoun, NE","Fort Calhoun, Nebraska | Government: Local | www.fortcalhoun.org"
3193722525,Fort Madison,Fort Madison,"Fort Madison, Iowa | Government: Local | www.fortmadisonia.com"
(800) 850-8397,"Foundation for Educational Services, NE","Foundation for Educational Services, NE","Lincoln, Nebraska | Education | www.fes.org"
+1.605.964.3687,"Four Bands Community Fund Inc, SD","Four Bands Community Fund Inc, SD","Eagle Butte, South Dakota | Education: Technical & Trade Schools | www.fourbands.org"
605.329.2145,"Frederick Area School District, SD","Frederick Area School District, SD","Frederick, South Dakota | Education: Lower Education | www.frederickarea.k12.sd.us"
+1.563.237.5725,"Fredericksburg, IA","Fredericksburg, IA","Fredericksburg, Iowa | Government: Local | www.fredericksburgiowa.com"
+1.605.925.4214,"Freeman School District 33-1, SD","Freeman School District 33-1, SD","Freeman, South Dakota | Education: Lower Education | www.freeman.k12.sd.us/"
+1.308.367.8641,"Frontier County, NE","Frontier County, NE","Stockville, Nebraska | Government: Local | www.co.frontier.ne.us/"
+1.308.632.3731,"Fullen School of Hair Design, NE","Fullen School of Hair Design, NE","Scottsbluff, Nebraska | Education: Higher Education | www.fullenschoolhairdesign.com"
+1.308.536.2428,"Fullerton, NE","Fullerton, NE","Fullerton, Nebraska | Government: Local | www.fullerton-ne.com"
(308) 637-3330,"Furnas County Freight, NE","Furnas County Freight, NE","Holbrook, Nebraska | Shipping | www.fcfreight.com"
(308) 772-3283,"Garden County Health Services, NE","Garden County Health Services, NE","Oshkosh, Nebraska | Hospitals | www.gchealth.org"
+1.641.923.2588,"Garner, IA","Garner, IA","Garner, Iowa | Government: Local | www.garner.govoffice2.com"
+1.605.594.3452,"Garretson School District, SD","Garretson School District, SD","Garretson, South Dakota | Education: Lower Education | www.garretson.k12.sd.us"
+1.605.267.4476,"Gayville-Volin School District 63-1, SD","Gayville-Volin School District 63-1, SD","Gayville, South Dakota | Education: Lower Education | www.gayvillevolin.k12.sd.us"
605-765-2436,"Gettysburg School District, SD","Gettysburg School District, SD","gettysburg, South Dakota | Education: Lower Education | www.gettysburg.k12.sd.us"
+1.308.468.6118,"Gibbon, NE","Gibbon, NE","Gibbon, Nebraska | Government: Local | www.cityofgibbon.org"
+1.712.527.4717,"Glenwood, IA","Glenwood, IA","Glenwood, Iowa | Government: Local | www.cityofglenwood.org"
+1.712.659.3010,"Glidden, IA","Glidden, IA","Glidden, Iowa | Government: Local | www.cityofglidden.org"
+1.308.785.2611,"Gosper County, NE","Gosper County, NE","Elwood, Nebraska | Government: Local | www.co.gosper.ne.us/"
3085373677,"Gothenburg, NE","Gothenburg, NE","Gothenburg, Nebraska | Government: Local | https://ci.gothenburg.ne.us/"
+1.515.352.3999,"Gowrie, IA","Gowrie, IA","Gowrie, Iowa | Government: Local | www.gowrie.org"
+1.402.449.2800,"Grace University, NE","Grace University, NE","Omaha, Nebraska | Education: Higher Education | www.graceuniversity.edu"
515738-2506,"Grand Junction Public Library, IA","Grand Junction Public Library, IA","Grand Junction, Iowa | Education | www.grandjunction.lib.ia.us/"
+1.515.999.2210,"Granger, IA","Granger, IA","Granger, Iowa | Government: Local | www.grangeriowa.org"
+1.605.432.6711,"Grant County Auditor, SD","Grant County Auditor, SD","Milbank, South Dakota | Government: Local | www.grantcounty.sd.gov/countyoffices/auditor/"
16058860672,"GREAT PLAINS LUTHERAN HIGH SCHOOL, SD","GREAT PLAINS LUTHERAN HIGH SCHOOL, SD","Watertown, South Dakota | Education | gplhs.org"
+1.605.721.1922,Great Plains Tribal Chairmen's Health Board,Great Plains Tribal Chairmen's Health Board,"Rapid City, South Dakota | Healthcare | www.gptchb.org"
+1.308.428.4010,"Greeley Center Village, NE","Greeley Center Village, NE","Greeley, Nebraska | Government: Local | www.greeleyirishfestival.com"
+1.308.428.3625,"Greeley County, NE","Greeley County, NE","Greeley, Nebraska | Government: Local | www.greeleycounty.ne.gov"
+1.605.775.2664,"Gregory County, SD","Gregory County, SD","Burke, South Dakota | Government: Local | gregory.sdcounties.org"
6058358531,"Gregory Library, SD","Gregory Library, SD","Gergory, South Dakota | Government: Local | www.cityofgregory.com"
+1.605.835.8771,"Gregory School District 26-4, SD","Gregory School District 26-4, SD","Gregory, South Dakota | Education: Lower Education | www.gregory.k12.sd.us"
15159862143,Grimes,Grimes,"Grimes, Iowa | Government: Local | http://www.grimesiowa.gov"
6412362600,Grinnell,Grinnell,"Grinnell, Iowa | Government: Local | http://www.grinnelliowa.org/"
(605) 397-8381,"Groton Area School District, SD","Groton Area School District, SD","Groton, South Dakota | Education: Lower Education | www.grotonarea.com"
(402) 753-0168,"Growing Hearts Academy, SD","Growing Hearts Academy, SD","Fremont, Nebraska | Education | www.growingheartsacademy.com/"
(319) 825-6118,"Grundy Center Municipal Utilities, IA","Grundy Center Municipal Utilities, IA","Grundy Center, Iowa | Utilities | www.gcmuni.net"
+14023725326,"Guardian Angels Central Catholic, NE","Guardian Angels Central Catholic, NE","West Point, Nebraska | Education: Lower Education | www.gaccbluejays.org/"
16413322339,GUTHRIE COUNTY ABSTRACT COMPANY,GUTHRIE COUNTY ABSTRACT COMPANY,"Guthrie Center, Iowa | Government: Local | guthriecountyabstract.com"
605-859-2442,"Haakon County Public Library, SD","Haakon County Public Library, SD","Philip, South Dakota | Education | www.haakonpubliclibrary.net"
6058592679,Haakon School District (SD) - ISD 27-1,Haakon School District (SD) - ISD 27-1,"Philip, South Dakota | Education: Lower Education | www.philip.k12.sd.us"
308-382-5500,"Hall County Airport Authority, NE","Hall County Airport Authority, NE","Grand Island, Nebraska | Government | www.hcgi.org"
402-694-2757,"Hamilton County Assessor's Office, NE","Hamilton County Assessor's Office, NE","Aurora, Nebraska | Finance | hca@ccigi.com"
+1.605.783.7831,"Hamlin County, SD","Hamlin County, SD","Hayti, South Dakota | Government: Local | www.hamlincountysd.org"
605-783-3631,"Hamlin School District, SD","Hamlin School District, SD","Hayti, South Dakota | Education: Lower Education | www.k12.sd.us"
+1.641.456.4853,"Hampton, IA","Hampton, IA","Hampton, Iowa | Government: Local | www.hamptonia.us"
+1.641.923.2532,"Hancock County Courthouse, IA","Hancock County Courthouse, IA","Garner, Iowa | Government | www.hancockcountyiowa.com"
+1.605.853.2182,"Hand County, SD","Hand County, SD","Miller, South Dakota | Government: Local | www.sdcounties.org"
+1.605.239.4714,"Hanson County, SD","Hanson County, SD","Alexandria, South Dakota | Government: Local | www.southdakotasheriffs.org"
+1.605.239.4387,"Hanson School District 30-1, SD","Hanson School District 30-1, SD","Alexandria, South Dakota | Education: Lower Education | www.hanson.k12.sd.us"
6419398220,Hardin County,Hardin County,"Eldora, Iowa | Government: Local | www.co.hardin.ia.us/"
(605) 375-3241,"Harding County School District, SD","Harding County School District, SD","Buffalo, South Dakota | Education: Lower Education | www.hardingcounty.k12.sd.us"
(319) 592-3600,"Harmony Community School District, IA","Harmony Community School District, IA","farmington, iowa | Education: Lower Education | www.harmony.com"
+1.605.743.5872,"Harrisburg, SD","Harrisburg, SD","Harrisburg, South Dakota | Government: Local | www.harrisburgsd.gov"
7126442401,Harrison County,Harrison County,"Logan, Iowa | Government: Local | https://harrisoncounty.iowa.gov/"
+1.712.928.2240,"Hartley, IA","Hartley, IA","Hartley, Iowa | Government: Local | www.hartleyiowa.com"
+1.402.463.2402,Hastings College,Hastings College,"Hastings, Nebraska | Education: Higher Education | www.hastings.edu"
17125512565,Hawarden,Hawarden,"Hawarden, Iowa | Government: Local | cityofhawarden.com"
88-485-0560,"Hawks Ridge, IA","Hawks Ridge, IA","Iowa City, Iowa | Education | www.livehawksridge.com"
+1.605.348.4247,"Headlines Academy Inc, SD","Headlines Academy Inc, SD","Rapid City, South Dakota | Education: Higher Education | www.headlinesacademy.com"
+1.308.487.3462,"Hemingford Village, NE","Hemingford Village, NE","Hemingford, Nebraska | Government: Local | www.ci.hemingford.ne.us"
605-852-2275,"Highmore-Harrold School District, SD","Highmore-Harrold School District, SD","Highmore, South Dakota | Education: Lower Education | www.highmore.k12.sd.us"
605-574-4529,"Hill City Public Library, SD","Hill City Public Library, SD","Hill City, South Dakota | Education | www.hillcitysd.com"
+1.605.574.3030,"Hill City School District, SD","Hill City School District, SD","Hill City, South Dakota | Education: Lower Education | www.hillcity.k12.sd.us"
+1.308.334.5646,"Hitchcock County, NE","Hitchcock County, NE","Trenton, Nebraska | Government: Local | www.hitchcockcounty.ne.gov/"
+1.605.266.2151,"Hitchcock Tulare School District 56-6, SD","Hitchcock Tulare School District 56-6, SD","Tulare, South Dakota | Education: Lower Education | www.k12.sd.us"
+14028784135,"Ho-Chunk, Inc.","Ho-Chunk, Inc.","Winnebago, Nebraska | Wholesale | www.hochunkinc.com"
+1.308.995.6556,"Holdrege Area Public Library, NE","Holdrege Area Public Library, NE","Holdrege, Nebraska | Education | n/a"
712-476-2737,"Hope Haven, Inc.","Hope Haven, Inc.","Rock Valley, Iowa | Education: Technical & Trade Schools | www.hopehaven.org/"
+1.605.745.4145,"Hot Springs School District, SD","Hot Springs School District, SD","Hot Springs, South Dakota | Education: Lower Education | www.hssd.k12.sd.us"
